"Site Crawled","https://inc5shop.com/"
"Start Date","2026-07-23"
"Start Time","16:48:07"
"Last Modified Date","2026-07-23"
"Last Modified Time","16:51:09"
"Elapsed","00:03:01"
"Report Date","2026-07-23"
"Report Time","16:51:16"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Outside <head>","0","0.00%","41","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","41","100.00%","41","Internal HTML pages with 2xx response"
"Contains Pagination","24","58.54%","41","Internal HTML pages with 2xx response"
"First Page","24","58.54%","41","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","41","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","41","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","24","58.54%","41","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","41","Internal HTML pages with 2xx response"
"Non-Indexable","1","2.44%","41","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","41","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","41","Internal HTML pages with 2xx response"
"Sequence Error","24","58.54%","41","Internal HTML pages with 2xx response"
""
"Directives"
"All","1539","100.00%","1539","Internal URLs with 2xx response"
"Index","0","0.00%","1539","Internal URLs with 2xx response"
"Noindex","0","0.00%","1539","Internal URLs with 2xx response"
"Follow","0","0.00%","1539","Internal URLs with 2xx response"
"Nofollow","0","0.00%","1539","Internal URLs with 2xx response"
"None","0","0.00%","1539","Internal URLs with 2xx response"
"NoArchive","0","0.00%","1539","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","1539","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","1539","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","1539","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","1539","Internal URLs with 2xx response"
"NoODP","0","0.00%","1539","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","1539","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","1539","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","1539","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","1539","Internal URLs with 2xx response"
"Refresh","0","0.00%","753","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","1539","Internal URLs with 2xx response"
""
"Hreflang"
"All","41","100.00%","41","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","41","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","41","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","41","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","41","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","41","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","41","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","41","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","41","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","41","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","41","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","41","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","41","Internal pages with 2xx response"
"Missing","0","0.00%","41","Internal pages with 2xx response"
"Outside <head>","0","0.00%","41","Internal pages with 2xx response"
""
"JavaScript"
"All","41","100.00%","41","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","41","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","41","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","41","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","41","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","41","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","41","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","41","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","41","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","41","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","41","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","41","Internal HTML pages with 2xx response"
