check_id,url,severity,status,source,artifact_ref,result,next_action
content_type_classifiable,https://inc5shop.com/products/driving-shoes-tan-069-1b,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,"Public URL, title, and rendered text were reviewed for a recognizable page type.",
resource_rendering_not_blocked,https://inc5shop.com/products/driving-shoes-tan-069-1b,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,Critical page content rendered successfully.,
title_not_keyword_stuffed,https://inc5shop.com/products/driving-shoes-tan-069-1b,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,Title reviewed for repeated terms and separator stuffing: Buy Now driving-shoes-tan-069-1b Buy Now driving-shoes-tan-069-1b.,
heading_not_keyword_stuffed,https://inc5shop.com/products/driving-shoes-tan-069-1b,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,15 rendered headings reviewed for stuffing.,
preview_controls_safe,https://inc5shop.com/products/driving-shoes-tan-069-1b,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,No harmful snippet preview controls were detected.,
url_path_clean,https://inc5shop.com/products/driving-shoes-tan-069-1b,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,"URL path reviewed for IDs, dates, session keys, and implementation details.",
media_support_present,https://inc5shop.com/products/driving-shoes-tan-069-1b,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,26 images found on the page.,
content_not_ai_slop,https://inc5shop.com/products/driving-shoes-tan-069-1b,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,Rendered copy reviewed for common generic AI filler phrases.,
thin_prompt_variant_pages,https://inc5shop.com/products/driving-shoes-tan-069-1b,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,Rendered public text has 60292 words.,
docs_content_extractable,https://inc5shop.com/products/driving-shoes-tan-069-1b,medium,not_applicable,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,This is not a docs or support URL.,
